skill_id,competency_id,weight
SK-FRAC-ADD,DE-MATH-Y7-BRU-02,1.0
SK-FRAC-ADD,NL-MATH-Y7-FRAC-02,1.0
SK-FRAC-SIMPLIFY,DE-MATH-Y7-BRU-03,1.0
SK-FRAC-SIMPLIFY,NL-MATH-Y7-FRAC-03,1.0
SK-FRAC-EQUIV,DE-MATH-Y7-BRU-03,1.0
SK-FRAC-EQUIV,NL-MATH-Y7-FRAC-03,1.0
SK-FRAC-COMPARE,DE-MATH-Y7-BRU-01,1.0
SK-FRAC-COMPARE,NL-MATH-Y7-FRAC-01,1.0
SK-FRAC-WORD,DE-MATH-Y7-BRU-02,0.5
SK-FRAC-WORD,NL-MATH-Y7-FRAC-02,0.5
SK-FRAC-MULT,NL-MATH-Y7-FRAC-02,0.4
SK-FRAC-MIXED,NL-MATH-Y7-FRAC-02,0.4
SK-FRAC-CONVERT,NL-MATH-Y7-FRAC-01,0.3
